,,,,,,,,,Hoja: 1 de 1,
,,,,,R.A.F.A.M.,,,,,
,,,,,,,,,,
MUNICIPIO,,,,,LISTADO DE PEDIDOS DE SUMINISTROS,,,,,
DE MORÓN,,,,,,,,,01/09/2026,13:42
,,,,,GENERAL (Semidetallado),,,,,
,,,,,,,,,,
,,,,,,,,,Ejercicio:,2026
,,,,,,,,,,
,,,,,,,,,,
Ejercicio,,Nº Pedido,Fecha,Dependencia,Fuente Finan.,Uni. Ejec.,Jurisdicción,Ing.Compras,Costo Total,Estado
,,,Código,Descripción,,,,,Cantidad,Costo Unit.
,,,,,,,,,,
2026,,,,,,,,,,
,,1,01/02/2026,DHMORO,110,12,1110104000,,39600000,Sol.de Gastos
,,,,,,,,,,
,,,2.5.2.03441.0002,BOLSAS DE ALIMENTACION PARENTERAL - DESCARTABLE PARA NEO DE 0 A 300 ML. CON O SIN LIPIDOS,,,,,30,920000
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,2,01/02/2026,DHMORO,110,12,1110104000,,40850100,Sol.de Gastos
,,,,,,,,,,
,,,2.1.1.00541.0018,CARNE - ESPECIE VACUNA - CORTE ROAST BEEF - FRESCA - NO ENVASADA AL VACIO,,,,,540,11410
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,3,01/02/2026,DHMORO,110,12,1110104000,,30788045,Sol.de Gastos
,,,,,,,,,,
,,,2.1.1.00481.0005,AZUCAR - EN SOBRES INDIVIDUALES - SIN TACC (APTO CELIACO) - PESO 6.25gr. - ENVASE PAPEL - PRESENTACION CAJA.,,,,,48,13500
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,4,01/02/2026,DHMORO,110,12,1110104000,,8000000,Sol.de Gastos
,,,,,,,,,,
,,,3.4.2.04467.0001,SERVICIO DE DIAGNOSTICO DE ALTA COMPLEJIDAD - ESTUDIOS DIAGNOSTICOS POR IMAGEN Y ALTA COMPLEJIDAD PARA PACIENTES INTERNADOS Y AMBULATORIOS -   SERVICIO HASTA AGOTAR LA SUMA DE $8.000.000. - SE DEBERA INDICAR PRECIOS UNITARIOS POR ESTUDIO.,,,,,1,8000000
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
